Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Connor McDavid (21265887),Connor McDavid,21265887,C/UTIL,9600,VGK@EDM 02/08/2022 09:00PM ET,EDM,16.75
LW,Alex Ovechkin (21266231),Alex Ovechkin,21266231,W/UTIL,8800,CLS@WAS 02/08/2022 07:00PM ET,WAS,17.64
C,Leon Draisaitl (21265889),Leon Draisaitl,21265889,C/UTIL,8800,VGK@EDM 02/08/2022 09:00PM ET,EDM,17.36
LW,Kyle Connor (21266233),Kyle Connor,21266233,W/UTIL,8600,MIN@WPG 02/08/2022 08:00PM ET,WPG,16.35
RW,David Pastrnak (21266235),David Pastrnak,21266235,W/UTIL,8500,PIT@BOS 02/08/2022 07:00PM ET,BOS,15.24
G,Frederik Andersen (21267339),Frederik Andersen,21267339,G,8500,CAR@OTT 02/08/2022 07:00PM ET,CAR,16.64
G,Antti Raanta (21267340),Antti Raanta,21267340,G,8500,CAR@OTT 02/08/2022 07:00PM ET,CAR,11.26
LW,Kirill Kaprizov (21266237),Kirill Kaprizov,21266237,W/UTIL,8400,MIN@WPG 02/08/2022 08:00PM ET,MIN,15.2
G,Vitek Vanecek (21267341),Vitek Vanecek,21267341,G,8300,CLS@WAS 02/08/2022 07:00PM ET,WAS,12.07
G,Ilya Samsonov (21267342),Ilya Samsonov,21267342,G,8300,CLS@WAS 02/08/2022 07:00PM ET,WAS,12.26
G,Jack Lafontaine (21267343),Jack Lafontaine,21267343,G,8300,CAR@OTT 02/08/2022 07:00PM ET,CAR,-4.55
G,Alex Lyon (21267344),Alex Lyon,21267344,G,8300,CAR@OTT 02/08/2022 07:00PM ET,CAR,14.15
G,Thatcher Demko (21267345),Thatcher Demko,21267345,G,8200,ARI@VAN 02/08/2022 10:00PM ET,VAN,14.63
G,Jaroslav Halak (21267346),Jaroslav Halak,21267346,G,8200,ARI@VAN 02/08/2022 10:00PM ET,VAN,11.83
LW,Max Pacioretty (21266239),Max Pacioretty,21266239,W/UTIL,8200,VGK@EDM 02/08/2022 09:00PM ET,VGK,17.3
G,Zach Fucale (21267347),Zach Fucale,21267347,G,8100,CLS@WAS 02/08/2022 07:00PM ET,WAS,9.3
G,Michael DiPietro (21267350),Michael DiPietro,21267350,G,8000,ARI@VAN 02/08/2022 10:00PM ET,VAN,-0.7
G,Spencer Martin (21267351),Spencer Martin,21267351,G,8000,ARI@VAN 02/08/2022 10:00PM ET,VAN,24.87
G,Cam Talbot (21267348),Cam Talbot,21267348,G,8000,MIN@WPG 02/08/2022 08:00PM ET,MIN,14.84
G,Kaapo Kahkonen (21267349),Kaapo Kahkonen,21267349,G,8000,MIN@WPG 02/08/2022 08:00PM ET,MIN,16.42
G,Linus Ullmark (21267352),Linus Ullmark,21267352,G,7900,PIT@BOS 02/08/2022 07:00PM ET,BOS,14.63
G,Tuukka Rask (21267353),Tuukka Rask,21267353,G,7900,PIT@BOS 02/08/2022 07:00PM ET,BOS,4.05
G,Andrew Hammond (21267356),Andrew Hammond,21267356,G,7800,MIN@WPG 02/08/2022 08:00PM ET,MIN,0
G,Sam Montembeault (21267354),Sam Montembeault,21267354,G,7800,NJ@MON 02/08/2022 07:00PM ET,MON,8.95
G,Cayden Primeau (21267355),Cayden Primeau,21267355,G,7800,NJ@MON 02/08/2022 07:00PM ET,MON,7.39
G,Jeremy Swayman (21267361),Jeremy Swayman,21267361,G,7700,PIT@BOS 02/08/2022 07:00PM ET,BOS,12.78
